frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
2,0.067,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
3,0.100,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
4,0.133,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
5,0.167,mp,0.8282,Fear,JOY,---,,---,0.8282,0.5449,0.8282,0.0000,0.0000,0.0670,0.000000,IDLE,"133,50,227,152",0.7365,0.7240
6,0.200,mp,0.5411,Fear,JOY,STARTLE,,---,0.5411,0.3501,0.5411,0.0000,6.4384,0.0964,0.000000,IDLE,"133,52,230,152",0.5476,0.5496
7,0.234,mp,0.1583,Happiness,---,STARTLE,,---,0.1318,0.6322,0.7334,0.2011,3.5996,0.1043,0.000000,IDLE,"137,60,229,161",-0.1218,0.0021
8,0.267,haar,0.2418,Happiness,---,---,,---,0.2126,0.4982,0.4694,0.1376,0.0246,0.1145,0.000000,IDLE,"133,70,231,168",-0.0751,0.0001
9,0.300,haar,0.2385,Happiness,---,---,,---,0.2033,0.4928,0.4830,0.1728,2.3525,0.1235,0.000000,IDLE,"132,72,230,171",-0.1006,0.0003
10,0.334,mp,0.2134,Happiness,CONC,---,,---,0.2031,0.4956,0.4413,0.0503,0.2943,0.1251,0.012515,IDLE,"131,83,226,177",-0.1540,0.0002
11,0.367,mp,0.1482,Happiness,---,STARTLE,,---,0.1248,0.5411,0.4587,0.1873,8.6908,0.1293,0.012926,IDLE,"126,90,224,182",-0.0209,0.0208
12,0.400,mp,0.0953,Happiness,---,STARTLE,,---,0.0873,0.5344,0.5935,0.0918,3.6067,0.1266,0.012658,IDLE,"125,90,222,185",0.2098,0.2277
13,0.434,mp,0.0328,Anger,JOY,---,,---,0.0328,0.7864,0.8312,0.0000,0.0704,0.1182,0.011816,IDLE,"122,88,220,188",0.6914,0.6288
14,0.467,mp,0.0392,Anger,JOY,---,,---,0.0392,0.6510,0.7266,0.0000,0.4408,0.1110,0.004401,IDLE,"121,89,221,189",0.8779,0.7238
15,0.501,mp,0.0291,Anger,JOY,STARTLE,,---,0.0291,0.6086,0.6578,0.0000,3.6603,0.1045,0.000808,IDLE,"121,88,220,189",0.8803,0.7394
16,0.534,mp,0.0191,Anger,JOY,---,,---,0.0191,0.5131,0.5149,0.0000,0.1603,0.0985,-0.000578,IDLE,"120,88,220,188",0.7077,0.7052
17,0.567,mp,0.0156,Anger,JOY,---,,---,0.0156,0.5646,0.5665,0.0000,0.0359,0.0931,-0.002134,IDLE,"119,86,218,185",0.6266,0.6227
18,0.601,mp,0.0261,Anger,JOY,STARTLE,,---,0.0261,0.4646,0.5015,0.0000,3.2610,0.0886,-0.003495,IDLE,"119,85,219,185",0.6697,0.6263
19,0.634,mp,0.2074,Anger,JOY,---,,---,0.2074,0.2201,0.3401,0.0000,0.1015,0.0886,-0.003655,IDLE,"119,85,220,184",0.7110,0.6768
20,0.667,mp,0.2836,Anger,JOY,---,,---,0.2836,0.2109,0.3231,0.0000,0.7480,0.0901,-0.003916,IDLE,"120,86,220,184",0.7315,0.6781
21,0.701,mp,0.3331,Anger,JOY,---,,---,0.3331,0.2350,0.3570,0.0000,0.0329,0.0924,-0.003414,IDLE,"120,85,220,183",0.7683,0.7036
22,0.734,mp,0.4188,Fear,JOY,---,,---,0.4188,0.3328,0.4188,0.0000,0.5722,0.0961,-0.002210,IDLE,"120,85,220,184",0.7444,0.7471
23,0.767,mp,0.2991,Fear,JOY,---,,---,0.2991,0.2227,0.2991,0.0000,0.0048,0.0973,-0.001365,IDLE,"120,85,220,184",0.7773,0.7695
24,0.801,mp,0.3056,Fear,JOY,---,,---,0.3056,0.2021,0.3056,0.0000,0.0110,0.0986,-0.000589,IDLE,"120,85,221,185",0.7910,0.7709
25,0.834,mp,0.3181,Fear,JOY,---,,---,0.3181,0.1571,0.3181,0.0000,0.0032,0.0999,0.000141,IDLE,"120,85,223,185",0.8009,0.7970
26,0.868,mp,0.3273,Fear,JOY,---,,---,0.3273,0.1645,0.3273,0.0000,0.0050,0.1012,0.000812,IDLE,"121,85,223,185",0.8435,0.8106
27,0.901,mp,0.3739,Fear,JOY,---,,---,0.3739,0.3286,0.3739,0.0000,0.0130,0.1032,0.001457,IDLE,"121,85,226,186",0.8850,0.8224
28,0.934,mp,0.3880,Fear,JOY,---,,---,0.3880,0.2656,0.3880,0.0000,0.3910,0.1052,0.001657,IDLE,"122,85,226,187",0.8623,0.8130
29,0.968,mp,0.3975,Fear,JOY,---,,---,0.3975,0.2864,0.3975,0.0000,0.0374,0.1072,0.001706,IDLE,"122,85,228,187",0.8565,0.7996
30,1.001,mp,0.3400,Fear,JOY,---,,---,0.3400,0.1746,0.3400,0.0000,1.8704,0.1082,0.001578,IDLE,"122,84,228,188",0.8084,0.8090
31,1.034,mp,0.2214,Disgust,JOY,---,,---,0.2214,0.2308,0.3339,0.0000,1.6631,0.1077,0.001160,IDLE,"123,84,227,188",0.9262,0.8662
32,1.068,mp,0.2665,Disgust,JOY,---,,---,0.2665,0.2645,0.3186,0.0000,1.8416,0.1077,0.001036,IDLE,"123,83,228,187",0.8597,0.8554
33,1.101,mp,0.2535,Fear,JOY,---,,---,0.2535,0.1267,0.2535,0.0000,0.0504,0.1076,0.000898,IDLE,"123,81,228,186",0.9132,0.8517
34,1.134,mp,0.6761,Fear,JOY,---,,---,0.6761,0.4106,0.6761,0.0000,0.0028,0.1125,0.001256,IDLE,"123,77,227,182",0.8989,0.8234
35,1.168,mp,0.7477,Fear,JOY,---,,---,0.7477,0.4358,0.7477,0.0000,0.2724,0.1179,0.001667,IDLE,"123,75,226,180",0.8790,0.8297
36,1.201,mp,0.7597,Fear,JOY,---,,---,0.7597,0.4179,0.7597,0.0000,0.2690,0.1232,0.002001,IDLE,"123,75,226,180",0.8872,0.8243
37,1.235,mp,0.8499,Fear,JOY,---,,---,0.8499,0.6465,0.8499,0.0000,0.4508,0.1292,0.002399,IDLE,"122,73,226,178",0.8737,0.8106
38,1.268,mp,0.7638,Fear,JOY,---,,---,0.7638,0.6205,0.7638,0.0000,0.8085,0.1340,0.002686,IDLE,"122,73,225,177",0.9065,0.8284
39,1.301,mp,0.6497,Fear,JOY,---,,---,0.6497,0.7497,0.6497,0.0000,1.5944,0.1376,0.002938,IDLE,"122,71,225,175",0.9037,0.8107
40,1.335,mp,0.3024,Happiness,JOY,---,,---,0.3024,0.6122,0.3475,0.0000,0.0072,0.1375,0.002984,IDLE,"121,69,224,172",0.8334,0.7720
41,1.368,mp,0.1367,Happiness,JOY,---,,---,0.1329,0.5717,0.3197,0.0281,0.3106,0.1359,0.002816,IDLE,"121,68,220,168",0.7036,0.6655
42,1.401,mp,0.1005,Anger,JOY,---,,---,0.1005,0.5050,0.3316,0.0000,0.0027,0.1337,0.002610,IDLE,"119,66,219,165",0.7657,0.6994
43,1.435,mp,0.0373,Anger,JOY,---,,---,0.0355,0.6337,0.5492,0.0520,1.4493,0.1315,0.001902,IDLE,"118,63,217,161",0.5396,0.5449
44,1.468,mp,0.1103,Anger,JOY,---,,---,0.1103,0.6132,0.4641,0.0000,0.0343,0.1296,0.001170,IDLE,"119,62,218,159",0.7957,0.7095
45,1.502,mp,0.0466,Anger,JOY,---,,---,0.0466,0.6041,0.4321,0.0000,0.7961,0.1272,0.000403,IDLE,"119,62,214,158",0.6643,0.6221
46,1.535,mp,0.0645,Anger,JOY,---,,---,0.0645,0.6313,0.4340,0.0000,1.7046,0.1251,-0.000407,IDLE,"118,62,212,157",0.7654,0.6790
47,1.568,mp,0.0674,Anger,JOY,---,,---,0.0674,0.6375,0.4346,0.0000,0.0746,0.1231,-0.001093,IDLE,"118,62,212,157",0.8238,0.7105
48,1.602,mp,0.0389,Disgust,JOY,---,,---,0.0389,0.5904,0.3935,0.0000,0.0156,0.1209,-0.001668,IDLE,"118,62,212,158",0.8053,0.7048
49,1.635,haar,0.0949,Anger,JOY,---,,---,0.0949,0.7711,0.5199,0.0000,2.0113,0.1193,-0.001815,IDLE,"115,59,208,158",0.6041,0.5738
50,1.668,haar,0.0854,Happiness,JOY,---,,---,0.0854,0.6792,0.3937,0.0000,1.6892,0.1178,-0.001805,IDLE,"112,58,207,157",0.8058,0.6971
51,1.702,haar,0.0826,Happiness,JOY,---,,---,0.0826,0.6822,0.4021,0.0000,0.0919,0.1186,-0.001506,IDLE,"114,57,207,156",0.8361,0.6929
52,1.735,haar,0.1341,Anger,JOY,---,,---,0.1316,0.6377,0.4200,0.0189,0.6760,0.1200,-0.001148,IDLE,"106,52,207,152",0.4384,0.4336
53,1.768,haar,0.0337,Happiness,JOY,---,,---,0.0337,0.4738,0.8727,0.0000,0.0319,0.1203,-0.000927,IDLE,"104,48,198,150",0.6986,0.6610
54,1.802,haar,0.0329,Happiness,JOY,---,,---,0.0329,0.4774,0.8742,0.0000,0.4040,0.1207,-0.000654,IDLE,"102,48,197,150",0.7520,0.6435
55,1.835,haar,0.0803,Happiness,JOY,---,,---,0.0803,0.4230,0.8271,0.0000,0.0929,0.1147,-0.001040,IDLE,"98,48,189,146",0.6515,0.5890
56,1.869,haar,0.0955,Happiness,JOY,---,,---,0.0955,0.4016,0.8052,0.0000,0.5369,0.1107,-0.001241,IDLE,"98,50,189,146",1.0000,0.8790
57,1.902,haar,0.4489,Happiness,JOY,---,,---,0.4489,0.4129,0.4520,0.0000,1.5144,0.1114,-0.000953,IDLE,"94,47,187,143",0.9713,0.7532
58,1.935,mp,0.2344,Happiness,JOY,---,,---,0.2344,0.5604,0.6529,0.0000,0.0000,0.1098,-0.000949,IDLE,"82,47,178,139",0.6582,0.5573
59,1.969,mp,0.1263,Happiness,JOY,---,,---,0.1263,0.4651,0.7915,0.0000,2.1583,0.1072,-0.001063,IDLE,"80,46,177,140",0.9139,0.7374
60,2.002,mp,0.2980,Happiness,JOY,---,,---,0.2980,0.6233,0.5757,0.0000,0.3667,0.1071,-0.001150,IDLE,"73,43,171,138",1.0000,0.8287
61,2.035,mp,0.5524,Fear,JOY,STARTLE,,---,0.5524,0.6830,0.5524,0.0000,4.5804,0.1085,-0.001152,IDLE,"71,40,171,138",1.0000,0.8910
62,2.069,mp,0.1344,Happiness,JOY,---,,---,0.1344,0.4657,0.8069,0.0000,0.0000,0.1078,-0.001255,IDLE,"70,40,167,138",0.9393,0.7624
63,2.102,mp,0.0860,Happiness,JOY,---,,---,0.0860,0.4091,0.8712,0.0000,0.5368,0.1083,-0.001240,IDLE,"68,41,164,137",1.0000,0.8145
64,2.135,mp,0.4362,Happiness,JOY,---,,---,0.4362,0.5051,0.4910,0.0000,1.7458,0.1116,-0.000312,IDLE,"65,39,163,136",0.9973,0.7880
65,2.169,mp,0.7669,Fear,JOY,---,,---,0.7669,0.4961,0.7669,0.0000,2.2667,0.1176,0.000694,IDLE,"62,34,164,136",0.9202,0.7535
66,2.202,mp,0.7429,Fear,JOY,---,,---,0.7429,0.4117,0.7429,0.0000,1.3610,0.1236,0.001220,IDLE,"62,34,163,138",1.0000,0.7945
67,2.236,mp,0.4902,Fear,JOY,---,,---,0.4902,0.2351,0.4902,0.0000,0.0732,0.1275,0.001763,IDLE,"63,34,163,138",0.8374,0.7262
68,2.269,mp,0.3712,Happiness,JOY,---,,---,0.3712,0.1703,0.4186,0.0000,2.2247,0.1303,0.002317,IDLE,"62,35,163,138",0.7993,0.6809
69,2.302,mp,0.4088,Fear,JOY,---,,---,0.4088,0.1729,0.4088,0.0000,0.0373,0.1320,0.002483,IDLE,"62,36,163,139",0.8449,0.7100
70,2.336,mp,0.6270,Fear,JOY,---,,---,0.6270,0.4714,0.6270,0.0000,1.6907,0.1349,0.002640,IDLE,"61,36,165,140",0.6849,0.6766
71,2.369,mp,0.5052,Fear,JOY,---,,---,0.5052,0.3583,0.5052,0.0000,0.6313,0.1364,0.002859,IDLE,"63,35,165,141",0.6474,0.6431
72,2.402,mp,0.7669,Fear,JOY,---,,---,0.7669,0.6514,0.7669,0.0000,2.3608,0.1394,0.003109,IDLE,"64,35,167,142",0.6671,0.6256
73,2.436,mp,0.7424,Fear,JOY,---,,---,0.7424,0.6226,0.7424,0.0000,0.0600,0.1430,0.003143,IDLE,"65,36,167,142",0.8258,0.6913
74,2.469,mp,0.7550,Fear,JOY,---,,---,0.7550,0.6597,0.7550,0.0000,0.2132,0.1467,0.002907,IDLE,"71,36,170,142",0.8938,0.7150
75,2.502,mp,0.7927,Fear,JOY,---,,---,0.7927,0.5808,0.7927,0.0000,1.9491,0.1506,0.002701,IDLE,"72,33,174,142",0.7741,0.6258
76,2.536,mp,0.7506,Fear,JOY,---,,---,0.7506,0.5160,0.7506,0.0000,0.7769,0.1541,0.002660,IDLE,"75,33,175,142",0.7204,0.6031
77,2.569,mp,0.4349,Fear,JOY,---,,---,0.4349,0.5176,0.4349,0.0000,0.5463,0.1547,0.002439,IDLE,"80,33,180,141",0.7202,0.5783
78,2.603,mp,0.5640,Fear,JOY,---,,---,0.5640,0.5312,0.5640,0.0000,0.1115,0.1561,0.002417,IDLE,"83,35,181,141",0.7821,0.6198
79,2.636,mp,0.5498,Fear,JOY,---,,---,0.5498,0.4820,0.5498,0.0000,0.0771,0.1574,0.002247,IDLE,"84,37,183,141",0.7911,0.6657
80,2.669,mp,0.5340,Fear,JOY,---,,---,0.5340,0.5503,0.5340,0.0000,0.3237,0.1590,0.002257,IDLE,"86,38,184,143",0.8251,0.6639
81,2.703,mp,0.4651,Fear,JOY,---,,---,0.4651,0.5759,0.4651,0.0000,0.2731,0.1610,0.002165,IDLE,"87,38,185,143",0.7935,0.6336
82,2.736,mp,0.4144,Fear,JOY,---,,---,0.4144,0.3900,0.4144,0.0000,1.3118,0.1623,0.001932,IDLE,"88,38,189,143",0.8170,0.6789
83,2.769,haar,0.5993,Fear,JOY,---,,---,0.5993,0.5695,0.5993,0.0000,0.1368,0.1654,0.001868,IDLE,"89,38,188,144",0.7514,0.6173
84,2.803,haar,0.6422,Fear,JOY,---,,---,0.6422,0.5467,0.6422,0.0000,0.0106,0.1653,0.001472,IDLE,"89,38,188,144",0.7124,0.5922
85,2.836,haar,0.5389,Fear,JOY,---,,---,0.5389,0.4294,0.5389,0.0000,0.0653,0.1639,0.000982,IDLE,"89,37,190,144",0.5328,0.4508
86,2.870,haar,0.1205,Happiness,---,STARTLE,,---,0.1127,0.0761,0.4044,0.0696,3.7084,0.1600,0.000530,IDLE,"89,37,190,144",0.2602,0.2539
87,2.903,haar,0.0318,Happiness,STRESS,---,,---,0.0275,0.0784,0.4425,0.1577,2.4797,0.1549,-0.000121,IDLE,"90,39,191,147",0.0177,0.0964
88,2.936,haar,0.0324,Happiness,STRESS,---,,---,0.0269,0.0769,0.4434,0.2043,1.3856,0.1508,-0.000656,IDLE,"91,39,191,148",-0.0952,0.0265
89,2.970,mp,0.1878,Happiness,---,---,,---,0.1642,0.1183,0.2889,0.1433,0.1030,0.1484,-0.001059,IDLE,"91,42,191,150",-0.0291,0.0087
90,3.003,haar,0.1978,Happiness,---,---,,---,0.1721,0.1426,0.4081,0.1499,0.3884,0.1488,-0.001221,IDLE,"92,42,191,150",-0.0339,0.0014
91,3.036,haar,0.5170,Fear,---,---,,---,0.4477,0.1661,0.4477,0.1548,2.0078,0.1528,-0.000950,IDLE,"94,42,196,151",-0.0301,0.0012
92,3.070,mp,0.6716,Fear,---,---,,---,0.5725,0.3272,0.5725,0.1730,2.7695,0.1587,-0.000670,IDLE,"95,42,199,151",-0.0219,0.0016
93,3.103,mp,0.6046,Fear,---,---,,---,0.5154,0.3347,0.5154,0.1731,0.1325,0.1644,-0.000087,IDLE,"96,42,199,150",-0.0198,0.0015
94,3.136,mp,0.9489,Fear,---,STARTLE,,---,0.7848,0.2972,0.7848,0.2091,5.2572,0.1716,0.000768,IDLE,"102,43,204,151",-0.0208,0.0102
95,3.170,mp,0.9338,Fear,---,---,,---,0.7763,0.3080,0.7763,0.2030,0.0471,0.1791,0.001912,IDLE,"103,43,204,151",-0.0180,0.0059
96,3.203,mp,0.9295,Fear,---,---,,---,0.7641,0.3252,0.7641,0.2165,1.0635,0.1865,0.003162,IDLE,"103,44,205,151",-0.0185,0.0033
97,3.237,haar,0.7978,Fear,---,---,,---,0.6584,0.4291,0.6584,0.2117,1.2518,0.1935,0.004270,IDLE,"106,45,209,152",-0.0170,0.0022
98,3.270,haar,0.8759,Fear,---,---,,---,0.7554,0.4283,0.7554,0.1595,0.0408,0.2010,0.005264,IDLE,"107,46,209,151",-0.0100,0.0010
99,3.303,haar,0.6513,Fear,---,---,,---,0.5662,0.2859,0.5662,0.1502,0.4413,0.2065,0.005767,IDLE,"104,48,211,158",-0.0071,0.0000
100,3.337,mp,0.5236,Fear,---,---,,---,0.4689,0.0897,0.4689,0.1168,0.2622,0.2108,0.005799,IDLE,"103,47,212,163",-0.0109,0.0000
101,3.370,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.2100,0.005131,IDLE,,0.0000,0.0000
102,3.403,mp,0.3170,Fear,---,---,,---,0.2738,0.1020,0.2738,0.1577,0.5434,0.2122,0.004776,IDLE,"108,80,204,181",-0.0074,0.0005
103,3.437,mp,0.2766,Anger,---,---,,---,0.2383,0.1980,0.2709,0.1607,0.0000,0.2153,0.004369,IDLE,"108,82,207,182",-0.0159,0.0001
104,3.470,mp,0.3423,Fear,---,---,,---,0.2968,0.1781,0.2968,0.1534,0.0901,0.2188,0.003967,IDLE,"108,83,206,183",-0.0085,0.0001
105,3.504,mp,0.3896,Fear,---,---,,---,0.3394,0.2325,0.3394,0.1478,0.4442,0.2223,0.003576,IDLE,"108,85,206,184",-0.0087,0.0001
